CMPD_CHEMBLID,exp,smiles
CHEMBL144006,7.707570176,NC(=O)CC(\\N=C(/S)\\Nc1ccc(cc1)S(=O)(=O)N)C(=O)O
CHEMBL147726,7.77815125,NS(=O)(=O)c1ccc(N\\C(=N\\C(CC(=O)O)C(=O)O)\\S)cc1
CHEMBL148069,7.86332286,NS(=O)(=O)c1ccc(N\\C(=N\\C(CO)C(=O)O)\\S)cc1
CHEMBL218490,7.77815125,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
CHEMBL20,6.505149978,CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL19,7.079181246,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N
CHEMBL144383,7.73239376,NS(=O)(=O)c1ccc(N\\C(=N\\C(C(=O)O)c2ccccc2)\\S)cc1
CHEMBL144716,7.812913357,NS(=O)(=O)c1ccc(N\\C(=N\\C(CS)C(=O)O)\\S)cc1
CHEMBL18,4.602059991,CCOc1ccc2nc(sc2c1)S(=O)(=O)N
CHEMBL144946,7.681241237,NS(=O)(=O)c1ccc(N\\C(=N\\C(C(O)c2ccccc2)C(=O)O)\\S)cc1
CHEMBL148894,4.698970004,COC1(CCOCC1)C(=N)\\C=C(/O)\\OCc2ccc3ccccc3c2
CHEMBL81336,3.176091259,C[C@@H](Nc1[nH]c(nc2nc(C)c(C)c12)c3ccccc3)c4ccccc4
CHEMBL81336,3.770852012,C[C@@H](Nc1[nH]c(nc2nc(C)c(C)c12)c3ccccc3)c4ccccc4
CHEMBL82289,2.414973348,C[C@@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4ccccc4
CHEMBL284565,7.698970004,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3
CHEMBL284565,7.785329835,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3
CHEMBL83863,3.447158031,C[C@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4cccc(Cl)c4
CHEMBL36370,4.84509804,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCOCC3
CHEMBL36370,4.698970004,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCOCC3
CHEMBL79415,2.681241237,C[C@H](c1ccccc1)n2c3ccccc3c4c(N)nc(nc24)c5ccccc5
CHEMBL79415,3.176091259,C[C@H](c1ccccc1)n2c3ccccc3c4c(N)nc(nc24)c5ccccc5
CHEMBL150231,5.176091259,COC1(CCOCC1)C(=N)\\C=C(/O)\\OCc2ccc3N(C)C(=O)C=Cc3c2
CHEMBL417690,6.944482672,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3
CHEMBL417690,7.209515015,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3
CHEMBL20403,3.579783597,COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2
CHEMBL37948,6.612783857,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3
CHEMBL37948,6.72427587,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3
CHEMBL355954,4.397940009,COC1(CCOCC1)C(=N)\\C=C(/O)\\OCc2ccc3N(C)C(=O)COc3c2
CHEMBL35214,8.635483747,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3
CHEMBL35214,8.151063253,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3
CHEMBL311870,3.342422681,C[C@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4ccc(Cl)cc4
CHEMBL311870,3.857332496,C[C@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4ccc(Cl)cc4
CHEMBL332697,4.758911892,COc1cc(\\C=C\\C(=O)N2CCC(CC2)n3c(O)nc4ccccc34)c(cc1OC)[N+](=O)[O-]
CHEMBL324170,4,[O-][N+](=O)c1cc2OCOc2cc1COC(=O)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL324257,4,O=C(OCc1ccc2nsnc2c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL326538,4,O=C(OCc1cccc(Oc2ccccc2)c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL324297,4,Oc1nc2ccccc2n1C3CCN(Cc4cc5OCOc5cc4[N+](=O)[O-])CC3
CHEMBL115229,4,Oc1nc2ccccc2n1C3=CCN(Cc4cc5OCOc5cc4[N+](=O)[O-])CC3
CHEMBL115444,4,Oc1nc2ccccc2n1C3CCN(CC3)C(=O)OCc4cc5OCOc5cc4Cl
CHEMBL324471,4.541579244,COc1cc(\\C=C\\C(=O)N2CCC3(CC2)N(CNC3=O)c4ccccc4)c(cc1OC)[N+](=O)[O-]
CHEMBL115549,4,Oc1nc2ccccc2n1C3CCN(CC3)C(=O)OCc4cc5OCOc5cc4[N+](=O)[O-]
CHEMBL420863,4,Cc1ccc2nc(O)n(C3CCN(Cc4cc5OCOc5cc4Cl)CC3)c2c1
CHEMBL114280,5.268811904,Oc1nc2ccccc2n1CCCNCc3cc4OCOc4cc3Cl
