CMPD_CHEMBLID,exp,smiles
CHEMBL73962,1200000,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1
CHEMBL144006,51000000,NC(=O)CC(\\N=C(/S)\\Nc1ccc(cc1)S(=O)(=O)N)C(=O)O
CHEMBL147726,60000000,NS(=O)(=O)c1ccc(N\\C(=N\\C(CC(=O)O)C(=O)O)\\S)cc1
CHEMBL148069,73000000,NS(=O)(=O)c1ccc(N\\C(=N\\C(CO)C(=O)O)\\S)cc1
CHEMBL218490,60000000,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
CHEMBL20,3200000,CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL19,12000000,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N
CHEMBL144383,54000000,NS(=O)(=O)c1ccc(N\\C(=N\\C(C(=O)O)c2ccccc2)\\S)cc1
CHEMBL144716,65000000,NS(=O)(=O)c1ccc(N\\C(=N\\C(CS)C(=O)O)\\S)cc1
CHEMBL18,40000,CCOc1ccc2nc(sc2c1)S(=O)(=O)N
CHEMBL144946,48000000,NS(=O)(=O)c1ccc(N\\C(=N\\C(C(O)c2ccccc2)C(=O)O)\\S)cc1
CHEMBL148894,50000,COC1(CCOCC1)C(=N)\\C=C(/O)\\OCc2ccc3ccccc3c2
CHEMBL81336,1500,C[C@@H](Nc1[nH]c(nc2nc(C)c(C)c12)c3ccccc3)c4ccccc4
CHEMBL81336,5900,C[C@@H](Nc1[nH]c(nc2nc(C)c(C)c12)c3ccccc3)c4ccccc4
CHEMBL82289,260,C[C@@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4ccccc4
CHEMBL284565,50000000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3
CHEMBL284565,61000000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3
CHEMBL83863,2800,C[C@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4cccc(Cl)c4
CHEMBL36370,70000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCOCC3
CHEMBL36370,50000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCOCC3
CHEMBL79415,480,C[C@H](c1ccccc1)n2c3ccccc3c4c(N)nc(nc24)c5ccccc5
CHEMBL79415,1500,C[C@H](c1ccccc1)n2c3ccccc3c4c(N)nc(nc24)c5ccccc5
CHEMBL150231,150000,COC1(CCOCC1)C(=N)\\C=C(/O)\\OCc2ccc3N(C)C(=O)C=Cc3c2
CHEMBL417690,8800000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3
CHEMBL417690,16200000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3
CHEMBL20403,3800,COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2
CHEMBL37948,4100000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3
CHEMBL37948,5300000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3
CHEMBL355954,25000,COC1(CCOCC1)C(=N)\\C=C(/O)\\OCc2ccc3N(C)C(=O)COc3c2
CHEMBL35214,432000000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3
CHEMBL35214,141600000,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3
CHEMBL311870,2200,C[C@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4ccc(Cl)cc4
CHEMBL311870,7200,C[C@H](c1ccccc1)n2c(C)c(C)c3c(N)nc(nc23)c4ccc(Cl)cc4
CHEMBL332697,57400,COc1cc(\\C=C\\C(=O)N2CCC(CC2)n3c(O)nc4ccccc34)c(cc1OC)[N+](=O)[O-]
CHEMBL324170,10000,[O-][N+](=O)c1cc2OCOc2cc1COC(=O)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL324257,10000,O=C(OCc1ccc2nsnc2c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL326538,10000,O=C(OCc1cccc(Oc2ccccc2)c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL324297,10000,Oc1nc2ccccc2n1C3CCN(Cc4cc5OCOc5cc4[N+](=O)[O-])CC3
CHEMBL115229,10000,Oc1nc2ccccc2n1C3=CCN(Cc4cc5OCOc5cc4[N+](=O)[O-])CC3
CHEMBL115444,10000,Oc1nc2ccccc2n1C3CCN(CC3)C(=O)OCc4cc5OCOc5cc4Cl
CHEMBL324471,34800,COc1cc(\\C=C\\C(=O)N2CCC3(CC2)N(CNC3=O)c4ccccc4)c(cc1OC)[N+](=O)[O-]
CHEMBL115549,10000,Oc1nc2ccccc2n1C3CCN(CC3)C(=O)OCc4cc5OCOc5cc4[N+](=O)[O-]
CHEMBL420863,10000,Cc1ccc2nc(O)n(C3CCN(Cc4cc5OCOc5cc4Cl)CC3)c2c1
CHEMBL114280,185700,Oc1nc2ccccc2n1CCCNCc3cc4OCOc4cc3Cl
CHEMBL325674,10000,O=C(OC1CCc2ccccc12)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL419214,46500,Cc1ncc([N+](=O)[O-])n1CCNC(=O)N2CCC(CC2)c3cc([nH]n3)c4ccc(Cl)cc4Cl
CHEMBL115222,208900,CNC(=O)CN1CN(c2ccccc2)C3(CCN(Cc4cc5OCOc5cc4Cl)CC3)C1=O
CHEMBL114327,10000,Oc1nc2ccccc2n1CCNC(=O)OCc3cc4OCOc4cc3Cl
CHEMBL115284,10000,Clc1cc2OCOc2cc1COC(=O)N3CCC(CC3)N4C(=O)CNc5ccccc45
